Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711546683993401757,1711546722703630080,1711546684097879072,1711546684098023793,1711546726703630080,104079
1711546684097627181,1711546735703630080,1711546684135774811,1711546684135779471,1711546738703630080,1711546684098008449
1711546684098014074,1711546747703630080,1711546684137322056,1711546684137326700,1711546750703630080,37439
1711546684135573172,1711546759703630080,1711546684183396438,1711546684183401151,1711546762703630080,1711546684135759795
1711546684135764670,1711546771703630080,1711546684227461284,1711546684227465364,1711546774703630080,1235
1711546684137119084,1711546783703630080,1711546684252513602,1711546684252517623,1711546785703630080,1711546684137309012
1711546684137313666,1711546795703630080,1711546684321134312,1711546684321138349,1711546797703630080,45775
1711546684183207369,1711546807703630080,1711546684336352622,1711546684336356679,1711546809703630080,1711546684183391807
1711546684183396484,1711546819703630080,1711546684550055610,1711546684550061050,1711546821703630080,43708
1711546684227224914,1711546831703630080,1711546684705242437,1711546684705247797,1711546833703630080,1711546684227444681
1711546684227449418,1711546843703630080,1711546684739965586,1711546684739970186,1711546845703630080,24704
1711546684252272745,1711546853703630080,1711546684767619124,1711546684767624758,1711546855703630080,1711546684252495532
1711546684252500300,1711546863703630080,1711546684807494965,1711546684807499080,1711546865703630080,68276
1711546684320895672,1711546875703630080,1711546684899636053,1711546684899640914,1711546877703630080,1711546684321116504
1711546684321121223,1711546888703630080,1711546685100863362,1711546685100867933,1711546890703630080,14875
1711546684336115012,1711546900703630080,1711546685114508735,1711546685114513282,1711546902703630080,1711546684336335243
1711546684336339999,1711546912703630080,1711546685213641451,1711546685213646047,1711546914703630080,213390
1711546684549850055,1711546924703630080,1711546685242311151,1711546685242316395,1711546926703630080,1711546684550038775
1711546684550043537,1711546935703630080,1711546685242949545,1711546685242951244,1711546937703630080,154868
1711546684705031401,1711546946703630080,1711546685497829156,1711546685497833966,1711546949703630080,1711546684705224933
1711546684705230250,1711546958703630080,1711546685895291606,1711546685895296363,1711546961703630080,34406
1711546684739755789,1711546970703630080,1711546686143970539,1711546686143975303,1711546973703630080,1711546684739947435
1711546684739952137,1711546982703630080,1711546686148704467,1711546686148709116,1711546985703630080,27332
1711546684767403551,1711546994703630080,1711546686264965350,1711546686264969945,1711546997703630080,1711546684767601567
1711546684767606241,1711547006703630080,1711546686332631775,1711546686332636455,1711547009703630080,39549
