Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548173579463652,1711548207408029952,1711548173582511984,1711548173582621919,1711548211408029952,1000
1711548173580633986,1711548219408029952,1711548173583834937,1711548173583836760,1711548222408029952,1711548173580869282
1711548173580874759,1711548229408029952,1711548173585034815,1711548173585036354,1711548232408029952,1000
1711548173581994506,1711548239408029952,1711548173586230875,1711548173586232379,1711548242408029952,1711548173582067772
1711548173582072542,1711548249408029952,1711548173587419686,1711548173587421389,1711548251408029952,1000
1711548173583192142,1711548259408029952,1711548173588614993,1711548173588616540,1711548261408029952,1711548173583266989
1711548173583271686,1711548269408029952,1711548173589839418,1711548173589840985,1711548271408029952,1000
1711548173584391823,1711548279408029952,1711548173591034475,1711548173591036025,1711548281408029952,1711548173584459040
1711548173584463585,1711548289408029952,1711548173592224471,1711548173592226016,1711548291408029952,1000
1711548173585582566,1711548299408029952,1711548173593418708,1711548173593420260,1711548301408029952,1711548173585647976
1711548173585652576,1711548309408029952,1711548173594610636,1711548173594612178,1711548311408029952,1000
1711548173586771135,1711548319408029952,1711548173595799295,1711548173595800999,1711548321408029952,1711548173586843911
1711548173586848557,1711548329408029952,1711548173596993641,1711548173596995330,1711548331408029952,1000
1711548173588001079,1711548339408029952,1711548173598186987,1711548173598188534,1711548341408029952,1711548173588072743
1711548173588077265,1711548349408029952,1711548173599373237,1711548173599374917,1711548351408029952,1000
1711548173589196521,1711548359408029952,1711548173600563013,1711548173600565298,1711548361408029952,1711548173589263320
1711548173589268078,1711548369408029952,1711548173601753827,1711548173601756079,1711548371408029952,1000
1711548173590387020,1711548379408029952,1711548173602946742,1711548173602948901,1711548381408029952,1711548173590452420
1711548173590456934,1711548389408029952,1711548173604138172,1711548173604140337,1711548391408029952,1000
1711548173591576087,1711548399408029952,1711548173605333435,1711548173605335705,1711548401408029952,1711548173591649936
1711548173591654492,1711548409408029952,1711548173606527016,1711548173606529269,1711548411408029952,1000
1711548173592773041,1711548419408029952,1711548173607717412,1711548173607719563,1711548421408029952,1711548173592838878
1711548173592843529,1711548429408029952,1711548173608909351,1711548173608911451,1711548431408029952,1000
1711548173593961826,1711548439408029952,1711548173610101739,1711548173610104009,1711548441408029952,1711548173594027556
1711548173594032320,1711548449408029952,1711548173611290485,1711548173611292736,1711548451408029952,1000
1711548173595151998,1711548459408029952,1711548173612488104,1711548173612490329,1711548461408029952,1711548173595226159
1711548173595230693,1711548469408029952,1711548173613678934,1711548173613681160,1711548471408029952,1000
1711548173596349224,1711548479408029952,1711548173614868875,1711548173614871119,1711548481408029952,1711548173596414989
1711548173596419570,1711548489408029952,1711548173616055560,1711548173616057785,1711548491408029952,1000
1711548173597537797,1711548499408029952,1711548173617249217,1711548173617251463,1711548501408029952,1711548173597601056
1711548173597605586,1711548509408029952,1711548173618442048,1711548173618444307,1711548511408029952,1000
1711548173598723984,1711548519408029952,1711548173619630825,1711548173619633078,1711548521408029952,1711548173598792540
1711548173598797125,1711548529408029952,1711548173620810729,1711548173620812879,1711548531408029952,1000
1711548173599916041,1711548539408029952,1711548173622001432,1711548173622003703,1711548541408029952,1711548173599985895
1711548173599990550,1711548549408029952,1711548173623188544,1711548173623190797,1711548551408029952,1000
1711548173601109159,1711548559408029952,1711548173624375148,1711548173624377402,1711548561408029952,1711548173601175350
1711548173601179940,1711548569408029952,1711548173625567881,1711548173625570011,1711548571408029952,1000
1711548173602298057,1711548579408029952,1711548173626760802,1711548173626763069,1711548581408029952,1711548173602367206
1711548173602371930,1711548589408029952,1711548173627949223,1711548173627951496,1711548591408029952,1000
1711548173603490422,1711548599408029952,1711548173629143633,1711548173629145733,1711548601408029952,1711548173603565949
1711548173603570676,1711548609408029952,1711548173630334818,1711548173630337079,1711548611408029952,1000
1711548173604689724,1711548619408029952,1711548173631522521,1711548173631524656,1711548621408029952,1711548173604755882
1711548173604760568,1711548629408029952,1711548173632715230,1711548173632717476,1711548631408029952,1000
1711548173605879292,1711548639408029952,1711548173633906343,1711548173633908581,1711548641408029952,1711548173605945750
1711548173605950282,1711548649408029952,1711548173635095533,1711548173635097768,1711548651408029952,1000
1711548173607069159,1711548659408029952,1711548173636282545,1711548173636284776,1711548661408029952,1711548173607141227
1711548173607145714,1711548669408029952,1711548173637477450,1711548173637479790,1711548671408029952,1000
1711548173608264237,1711548679408029952,1711548173638670731,1711548173638672984,1711548681408029952,1711548173608330467
1711548173608334911,1711548689408029952,1711548173639860358,1711548173639862615,1711548691408029952,1000
1711548173609453022,1711548699408029952,1711548173641053626,1711548173641055868,1711548701408029952,1711548173609519372
1711548173609523896,1711548709408029952,1711548173642246398,1711548173642248558,1711548711408029952,1000
1711548173610642115,1711548719408029952,1711548173643435473,1711548173643437721,1711548721408029952,1711548173610717070
1711548173610721752,1711548729408029952,1711548173644629280,1711548173644631560,1711548731408029952,1000
1711548173611840534,1711548739408029952,1711548173645812136,1711548173645814298,1711548741408029952,1711548173611909803
1711548173611914510,1711548749408029952,1711548173647003899,1711548173647006160,1711548751408029952,1000
1711548173613033425,1711548759408029952,1711548173648190360,1711548173648192587,1711548761408029952,1711548173613097434
1711548173613102317,1711548769408029952,1711548173649385394,1711548173649387777,1711548772408029952,1000
1711548173614220809,1711548779408029952,1711548173650611862,1711548173650614092,1711548781408029952,1711548173614284009
1711548173614288537,1711548789408029952,1711548173651801754,1711548173651804018,1711548791408029952,1000
1711548173615407150,1711548799408029952,1711548173652994487,1711548173652996651,1711548801408029952,1711548173615481235
1711548173615485943,1711548809408029952,1711548173654186838,1711548173654189105,1711548811408029952,1000
1711548173616604737,1711548819408029952,1711548173655375316,1711548173655377478,1711548821408029952,1711548173616671052
1711548173616675771,1711548829408029952,1711548173656568442,1711548173656570655,1711548831408029952,1000
1711548173617793901,1711548839408029952,1711548173657756620,1711548173657758780,1711548841408029952,1711548173617859689
1711548173617864458,1711548849408029952,1711548173658947528,1711548173658949788,1711548851408029952,1000
1711548173618968012,1711548859408029952,1711548173660134786,1711548173660136957,1711548861408029952,1711548173619042333
1711548173619046746,1711548869408029952,1711548173661328319,1711548173661330489,1711548871408029952,1000
1711548173620165649,1711548879408029952,1711548173662521422,1711548173662523570,1711548881408029952,1711548173620230322
