Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711548715251209034,1711548752055696640,1711548715254942341,1711548715255084103,1711548754055696640,1000
1711548715252339756,1711548764055696640,1711548715256493987,1711548715256498457,1711548765055696640,1711548715252775890
1711548715252781471,1711548774055696640,1711548715257886310,1711548715257890376,1711548775055696640,1000
1711548715253901375,1711548784055696640,1711548715259262747,1711548715259266866,1711548785055696640,1711548715254177538
1711548715254182102,1711548794055696640,1711548715260647502,1711548715260651600,1711548795055696640,1000
1711548715255301596,1711548803055696640,1711548715262001168,1711548715262005208,1711548805055696640,1711548715255569924
1711548715255574508,1711548813055696640,1711548715263357355,1711548715263361414,1711548815055696640,1000
1711548715256693986,1711548823055696640,1711548715264724194,1711548715264728268,1711548825055696640,1711548715256943398
1711548715256948033,1711548833055696640,1711548715266076791,1711548715266080870,1711548835055696640,1000
1711548715258066947,1711548843055696640,1711548715267434492,1711548715267438498,1711548845055696640,1711548715258327795
1711548715258332522,1711548852055696640,1711548715268779437,1711548715268783491,1711548854055696640,1000
1711548715259452115,1711548862055696640,1711548715270120571,1711548715270124621,1711548864055696640,1711548715259684936
1711548715259689596,1711548872055696640,1711548715271463409,1711548715271467479,1711548874055696640,1000
1711548715260808375,1711548882055696640,1711548715272806161,1711548715272810438,1711548885055696640,1711548715261037591
1711548715261042306,1711548892055696640,1711548715274145843,1711548715274149923,1711548894055696640,1000
1711548715262161366,1711548902055696640,1711548715275485382,1711548715275489450,1711548904055696640,1711548715262404123
1711548715262408713,1711548912055696640,1711548715276828995,1711548715276833062,1711548915055696640,1000
1711548715263528222,1711548922055696640,1711548715278168243,1711548715278172298,1711548924055696640,1711548715263760215
1711548715263764971,1711548932055696640,1711548715279506382,1711548715279510489,1711548934055696640,1000
1711548715264883426,1711548942055696640,1711548715280804240,1711548715280808298,1711548945055696640,1711548715265114671
1711548715265119241,1711548952055696640,1711548715282143859,1711548715282147921,1711548954055696640,1000
1711548715266237185,1711548962055696640,1711548715283483770,1711548715283487873,1711548964055696640,1711548715266459291
1711548715266463985,1711548972055696640,1711548715284782491,1711548715284786575,1711548975055696640,1000
1711548715267583846,1711548982055696640,1711548715286121076,1711548715286125133,1711548984055696640,1711548715267805774
1711548715267810408,1711548992055696640,1711548715287461076,1711548715287465156,1711548994055696640,1000
1711548715268929018,1711549002055696640,1711548715288759584,1711548715288763640,1711549005055696640,1711548715269143268
1711548715269147966,1711549012055696640,1711548715290096927,1711548715290101010,1711549014055696640,1000
1711548715270266441,1711549022055696640,1711548715291436098,1711548715291440158,1711549024055696640,1711548715270486368
1711548715270491128,1711549032055696640,1711548715292779507,1711548715292783572,1711549035055696640,1000
1711548715271610000,1711549042055696640,1711548715294113023,1711548715294117116,1711549044055696640,1711548715271829151
1711548715271833790,1711549052055696640,1711548715295450430,1711548715295454510,1711549054055696640,1000
1711548715272952471,1711549062055696640,1711548715296749697,1711548715296753785,1711549065055696640,1711548715273165831
1711548715273170533,1711549072055696640,1711548715298087405,1711548715298091447,1711549074055696640,1000
1711548715274288504,1711549082055696640,1711548715299426206,1711548715299430255,1711549084055696640,1711548715274509252
1711548715274514010,1711549092055696640,1711548715300722163,1711548715300726237,1711549095055696640,1000
1711548715275633100,1711549102055696640,1711548715302061044,1711548715302065093,1711549104055696640,1711548715275851681
1711548715275856400,1711549112055696640,1711548715303401013,1711548715303405083,1711549114055696640,1000
1711548715276975849,1711549122055696640,1711548715304697341,1711548715304701441,1711549124055696640,1711548715277186485
1711548715277190999,1711549132055696640,1711548715306033180,1711548715306037244,1711549134055696640,1000
1711548715278309770,1711549142055696640,1711548715307372575,1711548715307376629,1711549144055696640,1711548715278484435
1711548715278489144,1711549152055696640,1711548715308668783,1711548715308672835,1711549154055696640,1000
1711548715279608837,1711549162055696640,1711548715309949528,1711548715309953635,1711549164055696640,1711548715279826355
1711548715279831052,1711549171055696640,1711548715311289500,1711548715311293570,1711549173055696640,1000
1711548715280950251,1711549181055696640,1711548715312633890,1711548715312637943,1711549184055696640,1711548715281163580
1711548715281168152,1711549191055696640,1711548715313982438,1711548715313986542,1711549193055696640,1000
1711548715282286978,1711549201055696640,1711548715315319448,1711548715315323557,1711549203055696640,1711548715282462434
1711548715282467131,1711549211055696640,1711548715316616284,1711548715316620308,1711549213055696640,1000
1711548715283586191,1711549221055696640,1711548715317967322,1711548715317971435,1711549223055696640,1711548715283804182
1711548715283809015,1711549231055696640,1711548715319306468,1711548715319310534,1711549233055696640,1000
1711548715284928130,1711549242055696640,1711548715320604145,1711548715320608226,1711549244055696640,1711548715285141484
1711548715285146058,1711549251055696640,1711548715321937265,1711548715321941371,1711549253055696640,1000
1711548715286264378,1711549261055696640,1711548715323272824,1711548715323276921,1711549263055696640,1711548715286439809
1711548715286444593,1711549271055696640,1711548715324578407,1711548715324582483,1711549273055696640,1000
1711548715287563091,1711549281055696640,1711548715325914827,1711548715325918880,1711549283055696640,1711548715287780151
1711548715287784850,1711549291055696640,1711548715327253284,1711548715327257337,1711549293055696640,1000
1711548715288903257,1711549301055696640,1711548715328564638,1711548715328568756,1711549303055696640,1711548715289115862
1711548715289120458,1711549311055696640,1711548715329900377,1711548715329904451,1711549314055696640,1000
1711548715290238893,1711549321055696640,1711548715331294298,1711548715331298367,1711549323055696640,1711548715290459481
1711548715290463981,1711549331055696640,1711548715332593756,1711548715332597800,1711549333055696640,1000
1711548715291582418,1711549341055696640,1711548715333931181,1711548715333935249,1711549343055696640,1711548715291796695
1711548715291801316,1711549351055696640,1711548715335271898,1711548715335275914,1711549353055696640,1000
1711548715292920092,1711549361055696640,1711548715336617150,1711548715336621214,1711549363055696640,1711548715293130263
1711548715293134845,1711549371055696640,1711548715337949713,1711548715337953796,1711549373055696640,1000
1711548715294253339,1711549381055696640,1711548715339283877,1711548715339287971,1711549383055696640,1711548715294429857
1711548715294434434,1711549391055696640,1711548715340604384,1711548715340608434,1711549394055696640,1000
1711548715295553002,1711549401055696640,1711548715341939782,1711548715341943818,1711549403055696640,1711548715295769825
1711548715295774444,1711549411055696640,1711548715343278888,1711548715343282972,1711549413055696640,1000
1711548715296892949,1711549421055696640,1711548715344580703,1711548715344584806,1711549423055696640,1711548715297106184
1711548715297110900,1711549431055696640,1711548715345917162,1711548715345921226,1711549433055696640,1000
1711548715298229212,1711549441055696640,1711548715347257783,1711548715347261861,1711549443055696640,1711548715298402653
1711548715298407362,1711549451055696640,1711548715348568076,1711548715348572174,1711549453055696640,1000
1711548715299526225,1711549461055696640,1711548715349905828,1711548715349909916,1711549463055696640,1711548715299743889
1711548715299748671,1711549471055696640,1711548715351246674,1711548715351250765,1711549473055696640,1000
1711548715300867362,1711549481055696640,1711548715352590649,1711548715352594729,1711549484055696640,1711548715301080864
1711548715301085376,1711549491055696640,1711548715353923655,1711548715353927752,1711549493055696640,1000
1711548715302203575,1711549501055696640,1711548715355260862,1711548715355264984,1711549503055696640,1711548715302377124
1711548715302381816,1711549511055696640,1711548715356566800,1711548715356570917,1711549513055696640,1000
1711548715303500242,1711549521055696640,1711548715357904476,1711548715357908556,1711549523055696640,1711548715303716238
1711548715303720941,1711549531055696640,1711548715359245275,1711548715359249340,1711549533055696640,1000
1711548715304839476,1711549541055696640,1711548715360560389,1711548715360564933,1711549543055696640,1711548715305052130
1711548715305056690,1711549551055696640,1711548715361898032,1711548715361902092,1711549553055696640,1000
