Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712099002656662256,1712099030508027904,1712099002656715355,1712099002656847078,1712099034508027904,1712099002657097191
1712099002667215549,1712099039508027904,1712099002667197486,1712099002667201623,1712099041508027904,1712099002667438668
1712099002677555527,1712099045508027904,1712099002677544052,1712099002677548233,1712099047508027904,1712099002677783238
1712099002687899870,1712099052508027904,1712099002687884289,1712099002687888449,1712099054508027904,1712099002688123344
1712099002698239874,1712099058508027904,1712099002698236264,1712099002698240428,1712099060508027904,1712099002698475432
1712099002708591837,1712099065508027904,1712099002708586987,1712099002708591137,1712099067508027904,1712099002708826496
1712099002718943260,1712099071508027904,1712099002718929075,1712099002718933152,1712099073508027904,1712099002719168538
1712099002729285669,1712099078508027904,1712099002729280696,1712099002729284827,1712099080508027904,1712099002729518850
1712099002739635657,1712099085508027904,1712099002739620456,1712099002739624551,1712099087508027904,1712099002739858489
1712099002749975759,1712099091508027904,1712099002749963854,1712099002749968003,1712099093508027904,1712099002750204287
1712099002760321559,1712099097508027904,1712099002760307170,1712099002760311270,1712099099508027904,1712099002760545425
1712099002770662062,1712099104508027904,1712099002770649255,1712099002770653399,1712099106508027904,1712099002770889316
1712099002780975797,1712099110508027904,1712099002780921247,1712099002780925428,1712099112508027904,1712099002781160826
1712099002791277263,1712099117508027904,1712099002791261726,1712099002791265764,1712099119508027904,1712099002791499953
1712099002801616945,1712099123508027904,1712099002801609107,1712099002801613163,1712099125508027904,1712099002801847215
1712099002811963806,1712099130508027904,1712099002811947091,1712099002811951228,1712099132508027904,1712099002812185362
1712099002822301772,1712099136508027904,1712099002822295852,1712099002822299922,1712099138508027904,1712099002822533713
1712099002832650667,1712099143508027904,1712099002832645005,1712099002832649102,1712099145508027904,1712099002832883418
1712099002842966505,1712099149508027904,1712099002842957565,1712099002842961742,1712099151508027904,1712099002843195754
1712099002853312824,1712099156508027904,1712099002853299016,1712099002853303086,1712099158508027904,1712099002853537881
1712099002863654262,1712099162508027904,1712099002863646069,1712099002863650205,1712099164508027904,1712099002863884243
1712099002874000784,1712099169508027904,1712099002873995068,1712099002873999140,1712099171508027904,1712099002874232959
1712099002884349584,1712099175508027904,1712099002884342128,1712099002884346248,1712099177508027904,1712099002884580076
1712099002894696468,1712099182508027904,1712099002894689263,1712099002894693339,1712099184508027904,1712099002894927423
1712099002905044377,1712099188508027904,1712099002905034056,1712099002905038249,1712099190508027904,1712099002905272241
1712099002915388741,1712099195508027904,1712099002915382876,1712099002915386999,1712099197508027904,1712099002915620771
1712099002925737694,1712099201508027904,1712099002925731314,1712099002925735424,1712099203508027904,1712099002925968771
1712099002936086094,1712099208508027904,1712099002936069601,1712099002936073683,1712099210508027904,1712099002936308511
1712099002946425059,1712099214508027904,1712099002946416581,1712099002946420678,1712099216508027904,1712099002946653821
1712099002956770053,1712099221508027904,1712099002956764427,1712099002956768595,1712099223508027904,1712099002957002156
1712099002967118547,1712099227508027904,1712099002967111165,1712099002967115237,1712099229508027904,1712099002967349598
1712099002977466207,1712099234508027904,1712099002977451331,1712099002977455437,1712099236508027904,1712099002977688258
1712099002987804859,1712099240508027904,1712099002987796933,1712099002987801081,1712099242508027904,1712099002988034960
1712099002998151583,1712099247508027904,1712099002998144067,1712099002998148181,1712099249508027904,1712099002998381950
1712099003008498944,1712099253508027904,1712099003008509505,1712099003008514014,1712099256508027904,1712099003008747323
1712099003018864091,1712099260508027904,1712099003018847539,1712099003018851677,1712099262508027904,1712099003019085359
1712099003029202072,1712099266508027904,1712099003029192763,1712099003029196940,1712099268508027904,1712099003029430471
1712099003039547150,1712099273508027904,1712099003039539196,1712099003039543330,1712099275508027904,1712099003039776560
1712099003049892944,1712099279508027904,1712099003049881572,1712099003049885679,1712099281508027904,1712099003050119345
1712099003060235906,1712099286508027904,1712099003060231249,1712099003060235395,1712099288508027904,1712099003060469022
1712099003070585298,1712099292508027904,1712099003070577492,1712099003070581599,1712099294508027904,1712099003070815255
1712099003080932061,1712099299508027904,1712099003080926204,1712099003080930369,1712099301508027904,1712099003081163594
1712099003091280031,1712099305508027904,1712099003091272692,1712099003091276839,1712099307508027904,1712099003091510866
1712099003101627189,1712099312508027904,1712099003101622564,1712099003101626728,1712099314508027904,1712099003101860489
1712099003111976687,1712099318508027904,1712099003111973313,1712099003111977423,1712099320508027904,1712099003112210924
1712099003122327314,1712099326508027904,1712099003122313470,1712099003122317590,1712099327508027904,1712099003122551145
1712099003132667608,1712099331508027904,1712099003132659757,1712099003132663938,1712099333508027904,1712099003132897413
1712099003143013525,1712099338508027904,1712099003143007376,1712099003143011573,1712099340508027904,1712099003143245217
1712099003153361497,1712099344508027904,1712099003153352170,1712099003153356277,1712099346508027904,1712099003153589491
1712099003163705827,1712099351508027904,1712099003163700002,1712099003163704153,1712099353508027904,1712099003163937498
1712099003174053867,1712099357508027904,1712099003174047060,1712099003174051232,1712099359508027904,1712099003174284419
1712099003184400975,1712099364508027904,1712099003184384375,1712099003184388476,1712099366508027904,1712099003184622212
1712099003194738592,1712099370508027904,1712099003194732265,1712099003194736401,1712099372508027904,1712099003194979434
1712099003205096258,1712099377508027904,1712099003205082939,1712099003205087085,1712099379508027904,1712099003205320466
1712099003215436788,1712099383508027904,1712099003215429293,1712099003215433351,1712099385508027904,1712099003215666449
1712099003225783308,1712099390508027904,1712099003225776814,1712099003225780964,1712099392508027904,1712099003226014806
1712099003236131034,1712099396508027904,1712099003236123224,1712099003236127367,1712099399508027904,1712099003236586643
1712099003246703361,1712099403508027904,1712099003246695510,1712099003246699586,1712099405508027904,1712099003246932785
1712099003257049542,1712099409508027904,1712099003257042415,1712099003257046553,1712099411508027904,1712099003257278868
1712099003267395500,1712099416508027904,1712099003267387050,1712099003267391137,1712099418508027904,1712099003267624724
1712099003277741052,1712099422508027904,1712099003277733289,1712099003277737525,1712099424508027904,1712099003277970920
1712099003288087025,1712099429508027904,1712099003288073331,1712099003288077419,1712099431508027904,1712099003288310624
1712099003298427056,1712099435508027904,1712099003298418259,1712099003298422331,1712099437508027904,1712099003298654921
1712099003308771179,1712099442508027904,1712099003308763050,1712099003308767168,1712099444508027904,1712099003309000242
1712099003319116803,1712099448508027904,1712099003319111380,1712099003319115528,1712099450508027904,1712099003319349008
1712099003329465319,1712099455508027904,1712099003329458787,1712099003329462903,1712099457508027904,1712099003329696194
1712099003339812385,1712099461508027904,1712099003339803500,1712099003339807647,1712099463508027904,1712099003340040584
1712099003350157160,1712099468508027904,1712099003350151448,1712099003350155603,1712099470508027904,1712099003350389153
1712099003360505785,1712099474508027904,1712099003360501246,1712099003360505377,1712099476508027904,1712099003360739043
1712099003370855431,1712099481508027904,1712099003370850219,1712099003370854329,1712099483508027904,1712099003371088093
1712099003381204951,1712099487508027904,1712099003381206606,1712099003381210779,1712099489508027904,1712099003381444503
1712099003391560700,1712099494508027904,1712099003391553502,1712099003391557608,1712099496508027904,1712099003391790774
1712099003401907782,1712099500508027904,1712099003401900103,1712099003401904222,1712099502508027904,1712099003402137123
1712099003412253665,1712099507508027904,1712099003412225285,1712099003412229482,1712099509508027904,1712099003412462963
1712099003422579593,1712099513508027904,1712099003422571222,1712099003422575356,1712099515508027904,1712099003422808790
1712099003432924989,1712099520508027904,1712099003432916537,1712099003432920665,1712099522508027904,1712099003433154335
1712099003443270575,1712099526508027904,1712099003443266457,1712099003443270510,1712099528508027904,1712099003443503670
1712099003453619837,1712099533508027904,1712099003453611474,1712099003453615616,1712099535508027904,1712099003453849235
1712099003463965433,1712099539508027904,1712099003463956683,1712099003463960740,1712099541508027904,1712099003464194890
1712099003474310997,1712099546508027904,1712099003474298000,1712099003474302227,1712099548508027904,1712099003474534481
1712099003484651727,1712099552508027904,1712099003484645370,1712099003484649534,1712099554508027904,1712099003484884227
1712099003494966023,1712099559508027904,1712099003494959308,1712099003494963439,1712099561508027904,1712099003495196581
1712099003505313003,1712099566508027904,1712099003505296754,1712099003505300874,1712099568508027904,1712099003505534314
1712099003515650562,1712099572508027904,1712099003515642287,1712099003515646461,1712099574508027904,1712099003515879822
1712099003525996248,1712099578508027904,1712099003525988921,1712099003525993077,1712099580508027904,1712099003526226292
1712099003536342667,1712099585508027904,1712099003536335481,1712099003536339620,1712099587508027904,1712099003536573102
1712099003546689434,1712099591508027904,1712099003546680526,1712099003546684703,1712099593508027904,1712099003546918460
1712099003557035142,1712099598508027904,1712099003557019043,1712099003557023144,1712099600508027904,1712099003557256369
1712099003567372736,1712099604508027904,1712099003567365685,1712099003567369901,1712099606508027904,1712099003567603005
1712099003577719422,1712099611508027904,1712099003577711832,1712099003577715939,1712099613508027904,1712099003577947979
1712099003588064276,1712099617508027904,1712099003588057817,1712099003588061987,1712099619508027904,1712099003588295933
1712099003598412676,1712099624508027904,1712099003598405810,1712099003598409979,1712099626508027904,1712099003598643698
1712099003608759910,1712099630508027904,1712099003608749711,1712099003608753831,1712099632508027904,1712099003608987138
1712099003619103841,1712099637508027904,1712099003619099194,1712099003619103364,1712099639508027904,1712099003619336651
1712099003629453079,1712099643508027904,1712099003629444754,1712099003629448958,1712099645508027904,1712099003629682020
1712099003639798534,1712099650508027904,1712099003639791383,1712099003639795534,1712099652508027904,1712099003640028660
1712099003650145358,1712099656508027904,1712099003650136997,1712099003650141201,1712099658508027904,1712099003650374505
1712099003660490709,1712099663508027904,1712099003660501248,1712099003660505670,1712099665508027904,1712099003660738087
1712099003670854345,1712099669508027904,1712099003670845054,1712099003670849164,1712099671508027904,1712099003671082909
1712099003681199615,1712099676508027904,1712099003681194107,1712099003681198199,1712099678508027904,1712099003681431373
1712099003691547497,1712099682508027904,1712099003691550640,1712099003691554709,1712099684508027904,1712099003691787864
1712099003701904376,1712099689508027904,1712099003701899529,1712099003701903759,1712099691508027904,1712099003702137324
1712099003712253588,1712099695508027904,1712099003712246828,1712099003712250999,1712099697508027904,1712099003712484073
1712099003722600375,1712099702508027904,1712099003722584123,1712099003722588183,1712099704508027904,1712099003722820755
1712099003732937034,1712099708508027904,1712099003732930102,1712099003732934203,1712099710508027904,1712099003733166906
1712099003743283256,1712099715508027904,1712099003743266927,1712099003743271042,1712099717508027904,1712099003743505498
