Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712098902057884024,1712098934899011072,1712098902059061478,1712098902059193991,1712098937899011072,1000
1712098902059053755,1712098944899011072,1712098902060558396,1712098902060562745,1712098947899011072,1712098902059450071
1712098902059455175,1712098953899011072,1712098902061902797,1712098902061907038,1712098955899011072,1000
1712098902060574693,1712098961899011072,1712098902063244552,1712098902063248681,1712098964899011072,1712098902060804885
1712098902060809631,1712098970899011072,1712098902064595468,1712098902064599704,1712098972899011072,1000
1712098902061928693,1712098980899011072,1712098902065943282,1712098902065947522,1712098981899011072,1712098902062147612
1712098902062152320,1712098987899011072,1712098902067280203,1712098902067284523,1712098989899011072,1000
1712098902063271553,1712098995899011072,1712098902068597798,1712098902068602034,1712098998899011072,1712098902063491612
1712098902063496303,1712099004899011072,1712098902069938803,1712098902069942986,1712099006899011072,1000
1712098902064616582,1712099012899011072,1712098902071281160,1712098902071285350,1712099015899011072,1712098902064839449
1712098902064844053,1712099021899011072,1712098902072643896,1712098902072648143,1712099023899011072,1000
1712098902065963284,1712099029899011072,1712098902073985979,1712098902073990187,1712099032899011072,1712098902066186897
1712098902066191446,1712099038899011072,1712098902075321796,1712098902075325983,1712099040899011072,1000
1712098902067311495,1712099046899011072,1712098902076624057,1712098902076628413,1712099048899011072,1712098902067526959
1712098902067531630,1712099055899011072,1712098902077966575,1712098902077970719,1712099057899011072,1000
1712098902068651888,1712099063899011072,1712098902079316926,1712098902079321173,1712099065899011072,1712098902068841464
1712098902068846095,1712099072899011072,1712098902080620871,1712098902080625084,1712099074899011072,1000
1712098902069965481,1712099080899011072,1712098902081961041,1712098902081965274,1712099082899011072,1712098902070181916
1712098902070186512,1712099089899011072,1712098902083302983,1712098902083307172,1712099091899011072,1000
1712098902071305800,1712099097899011072,1712098902084606444,1712098902084610643,1712099099899011072,1712098902071528107
1712098902071532922,1712099106899011072,1712098902085946575,1712098902085950848,1712099108899011072,1000
1712098902072652635,1712099114899011072,1712098902087288254,1712098902087292536,1712099116899011072,1712098902072888459
1712098902072892969,1712099123899011072,1712098902088638215,1712098902088642379,1712099125899011072,1000
1712098902074011836,1712099131899011072,1712098902089972221,1712098902089976470,1712099133899011072,1712098902074230084
1712098902074234835,1712099140899011072,1712098902091307959,1712098902091312199,1712099142899011072,1000
1712098902075353804,1712099148899011072,1712098902092607443,1712098902092611696,1712099150899011072,1712098902075569025
1712098902075573707,1712099157899011072,1712098902093945687,1712098902093949929,1712099159899011072,1000
1712098902076692538,1712099165899011072,1712098902095286598,1712098902095290842,1712099167899011072,1712098902076867844
1712098902076872339,1712099174899011072,1712098902096634466,1712098902096638672,1712099176899011072,1000
1712098902077991394,1712099182899011072,1712098902097973381,1712098902097977661,1712099184899011072,1712098902078210979
1712098902078215649,1712099191899011072,1712098902099312107,1712098902099316327,1712099193899011072,1000
1712098902079335385,1712099199899011072,1712098902100613339,1712098902100617537,1712099201899011072,1712098902079565612
1712098902079570479,1712099208899011072,1712098902101954009,1712098902101958275,1712099210899011072,1000
1712098902080689771,1712099216899011072,1712098902103294671,1712098902103298907,1712099218899011072,1712098902080865132
1712098902080869774,1712099225899011072,1712098902104644835,1712098902104648975,1712099227899011072,1000
1712098902081988675,1712099233899011072,1712098902105984166,1712098902105988349,1712099235899011072,1712098902082204720
1712098902082209209,1712099242899011072,1712098902107324344,1712098902107328527,1712099244899011072,1000
1712098902083329071,1712099250899011072,1712098902108626249,1712098902108630449,1712099252899011072,1712098902083549793
1712098902083554542,1712099259899011072,1712098902109966587,1712098902109970791,1712099261899011072,1000
1712098902084673933,1712099267899011072,1712098902111306949,1712098902111311185,1712099269899011072,1712098902084849984
1712098902084855115,1712099276899011072,1712098902112608499,1712098902112612676,1712099278899011072,1000
1712098902085975055,1712099284899011072,1712098902113946570,1712098902113950741,1712099286899011072,1712098902086190086
1712098902086194695,1712099293899011072,1712098902115289331,1712098902115293532,1712099295899011072,1000
1712098902087314478,1712099301899011072,1712098902116594536,1712098902116598776,1712099303899011072,1712098902087534906
1712098902087540301,1712099310899011072,1712098902117935858,1712098902117940055,1712099312899011072,1000
1712098902088659947,1712099318899011072,1712098902119281633,1712098902119285837,1712099320899011072,1712098902088881601
1712098902088886095,1712099327899011072,1712098902120592323,1712098902120596576,1712099329899011072,1000
1712098902090004767,1712099335899011072,1712098902121941933,1712098902121946222,1712099338899011072,1712098902090215938
1712098902090220512,1712099344899011072,1712098902123278542,1712098902123282817,1712099346899011072,1000
1712098902091339633,1712099352899011072,1712098902124596134,1712098902124600345,1712099355899011072,1712098902091554463
1712098902091559160,1712099361899011072,1712098902125930195,1712098902125934406,1712099363899011072,1000
1712098902092678022,1712099369899011072,1712098902127265657,1712098902127269857,1712099371899011072,1712098902092850834
1712098902092855473,1712099378899011072,1712098902128575596,1712098902128579927,1712099380899011072,1000
1712098902093974269,1712099386899011072,1712098902129911375,1712098902129915680,1712099389899011072,1712098902094189275
1712098902094194020,1712099395899011072,1712098902131247707,1712098902131251940,1712099397899011072,1000
1712098902095313510,1712099403899011072,1712098902132567565,1712098902132571823,1712099405899011072,1712098902095532520
1712098902095537125,1712099412899011072,1712098902133904623,1712098902133908863,1712099414899011072,1000
1712098902096656953,1712099420899011072,1712098902135298846,1712098902135303185,1712099423899011072,1712098902096877705
1712098902096882387,1712099430899011072,1712098902136597783,1712098902136602060,1712099431899011072,1000
1712098902098001230,1712099439899011072,1712098902137949029,1712098902137953299,1712099440899011072,1712098902098217655
1712098902098222154,1712099446899011072,1712098902139285607,1712098902139289887,1712099448899011072,1000
1712098902099342022,1712099455899011072,1712098902140588237,1712098902140592541,1712099457899011072,1712098902099558709
1712098902099563419,1712099463899011072,1712098902141925982,1712098902141930182,1712099465899011072,1000
1712098902100682587,1712099471899011072,1712098902143261033,1712098902143265297,1712099474899011072,1712098902100857799
1712098902100862793,1712099480899011072,1712098902144571830,1712098902144576108,1712099482899011072,1000
1712098902101982188,1712099488899011072,1712098902145925756,1712098902145930033,1712099490899011072,1712098902102198043
1712098902102202728,1712099497899011072,1712098902147262364,1712098902147266684,1712099499899011072,1000
1712098902103321739,1712099505899011072,1712098902148582907,1712098902148587152,1712099507899011072,1712098902103540910
1712098902103545819,1712099514899011072,1712098902149917040,1712098902149921283,1712099516899011072,1000
1712098902104665756,1712099522899011072,1712098902151253498,1712098902151257798,1712099524899011072,1712098902104888353
1712098902104892796,1712099531899011072,1712098902152561568,1712098902152565852,1712099533899011072,1000
1712098902106011740,1712099539899011072,1712098902153897990,1712098902153902264,1712099541899011072,1712098902106227565
1712098902106232138,1712099548899011072,1712098902155234071,1712098902155238342,1712099550899011072,1000
1712098902107351684,1712099556899011072,1712098902156555420,1712098902156559680,1712099558899011072,1712098902107571148
1712098902107575847,1712099565899011072,1712098902157912140,1712098902157916547,1712099567899011072,1000
1712098902108694605,1712099573899011072,1712098902159246752,1712098902159251026,1712099575899011072,1712098902108869630
1712098902108874752,1712099582899011072,1712098902160565714,1712098902160569994,1712099584899011072,1000
