Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712183068376122219,1712183095123588608,1712183068377004504,1712183068377142437,1712183099123588608,1712183068376562582
1712183068386680067,1712183105123588608,1712183068387491699,1712183068387495803,1712183108123588608,1712183068386898419
1712183068396977104,1712183113123588608,1712183068397799569,1712183068397803662,1712183116123588608,1712183068397207145
1712183068407323778,1712183121123588608,1712183068408140350,1712183068408144538,1712183124123588608,1712183068407546444
1712183068417662996,1712183129123588608,1712183068418482515,1712183068418486724,1712183132123588608,1712183068417888399
1712183068428004892,1712183137123588608,1712183068428831115,1712183068428835331,1712183139123588608,1712183068428236944
1712183068438353572,1712183145123588608,1712183068439179822,1712183068439183962,1712183147123588608,1712183068438585490
1712183068448702041,1712183153123588608,1712183068449527258,1712183068449531348,1712183155123588608,1712183068448933163
1712183068459049467,1712183161123588608,1712183068459875040,1712183068459879179,1712183163123588608,1712183068459280522
1712183068469397202,1712183169123588608,1712183068470223393,1712183068470227450,1712183171123588608,1712183068469628864
1712183068479746392,1712183177123588608,1712183068480573100,1712183068480577148,1712183179123588608,1712183068479981223
1712183068490097889,1712183185123588608,1712183068490924198,1712183068490928294,1712183187123588608,1712183068490328536
1712183068500444979,1712183193123588608,1712183068501274195,1712183068501278321,1712183195123588608,1712183068500679247
1712183068510795622,1712183201123588608,1712183068511619576,1712183068511623689,1712183203123588608,1712183068511025219
1712183068521141823,1712183209123588608,1712183068521958770,1712183068521962916,1712183211123588608,1712183068521363380
1712183068531479597,1712183217123588608,1712183068532296538,1712183068532300602,1712183219123588608,1712183068531701828
1712183068541818363,1712183225123588608,1712183068542644792,1712183068542648997,1712183227123588608,1712183068542049903
1712183068552166124,1712183233123588608,1712183068553001197,1712183068553005316,1712183235123588608,1712183068552406709
1712183068562523382,1712183242123588608,1712183068563356335,1712183068563360442,1712183244123588608,1712183068562760900
1712183068572877410,1712183250123588608,1712183068573708169,1712183068573712230,1712183252123588608,1712183068573113108
