Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1712183015106766918,1712183047863349504,1712183015117797289,1712183015117925785,1712183051863349504,10000
1712183015116936787,1712183059863349504,1712183015128280608,1712183015128284841,1712183062863349504,1712183015117331751
1712183015117336834,1712183069863349504,1712183015138633342,1712183015138637499,1712183072863349504,10000
1712183015127457345,1712183079863349504,1712183015148983133,1712183015148987240,1712183082863349504,1712183015127678226
1712183015127682875,1712183089863349504,1712183015159331041,1712183015159335143,1712183092863349504,10000
1712183015137803200,1712183099863349504,1712183015169681075,1712183015169685151,1712183101863349504,1712183015138029489
1712183015138034089,1712183110863349504,1712183015180029838,1712183015180033998,1712183112863349504,10000
1712183015148154126,1712183119863349504,1712183015190379203,1712183015190383345,1712183121863349504,1712183015148381284
1712183015148385885,1712183129863349504,1712183015200729252,1712183015200733333,1712183131863349504,10000
1712183015158505882,1712183139863349504,1712183015211077252,1712183015211081387,1712183141863349504,1712183015158728278
1712183015158732858,1712183149863349504,1712183015221426244,1712183015221430321,1712183151863349504,10000
1712183015168852462,1712183159863349504,1712183015231773947,1712183015231778124,1712183161863349504,1712183015169078438
1712183015169082833,1712183169863349504,1712183015242121712,1712183015242125779,1712183171863349504,10000
1712183015179202236,1712183179863349504,1712183015252495363,1712183015252499499,1712183181863349504,1712183015179426499
1712183015179431014,1712183189863349504,1712183015262846630,1712183015262850761,1712183191863349504,10000
1712183015189551215,1712183199863349504,1712183015273250968,1712183015273255212,1712183202863349504,1712183015189776167
1712183015189781013,1712183209863349504,1712183015283598178,1712183015283602298,1712183211863349504,10000
1712183015199900739,1712183219863349504,1712183015293945284,1712183015293949418,1712183221863349504,1712183015200125911
1712183015200130466,1712183229863349504,1712183015304291891,1712183015304296022,1712183231863349504,10000
1712183015210250244,1712183239863349504,1712183015314639171,1712183015314643260,1712183241863349504,1712183015210473689
1712183015210478355,1712183249863349504,1712183015324987964,1712183015324992141,1712183251863349504,10000
1712183015220597609,1712183259863349504,1712183015335339660,1712183015335343779,1712183261863349504,1712183015220824795
1712183015220829324,1712183269863349504,1712183015345691084,1712183015345695142,1712183271863349504,10000
1712183015230948421,1712183279863349504,1712183015356040178,1712183015356044316,1712183281863349504,1712183015231170928
1712183015231175663,1712183289863349504,1712183015366390093,1712183015366394280,1712183291863349504,10000
1712183015241295607,1712183300863349504,1712183015376736681,1712183015376740851,1712183302863349504,1712183015241518432
1712183015241522964,1712183309863349504,1712183015387106689,1712183015387111030,1712183311863349504,10000
1712183015251641772,1712183319863349504,1712183015397460135,1712183015397464252,1712183321863349504,1712183015251892402
1712183015251896940,1712183329863349504,1712183015407796018,1712183015407800173,1712183331863349504,10000
