Client sent,Wireshark get,Server get,Server reply,Wireshark server reply sent,Client read
1711547902452942084,1711547935194610432,1711547902479230080,1711547902479355816,1711547938194610432,24637
1711547902477743590,1711547945194610432,1711547902489937217,1711547902489939504,1711547948194610432,1711547902478003455
1711547902478009496,1711547954194610432,1711547902509813271,1711547902509815332,1711547956194610432,10361
1711547902488492908,1711547962194610432,1711547902519700967,1711547902519702940,1711547964194610432,1711547902488591448
1711547902488596468,1711547971194610432,1711547902520359271,1711547902520361412,1711547973194610432,19648
1711547902508364749,1711547979194610432,1711547902538216355,1711547902538218555,1711547981194610432,1711547902508463600
1711547902508468563,1711547988194610432,1711547902564612435,1711547902564636622,1711547990194610432,9669
1711547902518257241,1711547996194610432,1711547902568077507,1711547902568080171,1711547998194610432,1711547902518345057
1711547902518350242,1711548005194610432,1711547902582726620,1711547902582728617,1711548007194610432,451
1711547902518920565,1711548013194610432,1711547902603198418,1711547902603200568,1711548016194610432,1711547902519003036
1711547902519008214,1711548022194610432,1711547902608775995,1711547902608778068,1711548024194610432,17642
1711547902536770388,1711548030194610432,1711547902611780206,1711547902611782290,1711548032194610432,1711547902536864412
1711547902536869220,1711548039194610432,1711547902614604435,1711547902614606305,1711548041194610432,26170
1711547902563159019,1711548047194610432,1711547902638965666,1711547902638967772,1711548049194610432,1711547902563272272
1711547902563277194,1711548056194610432,1711547902651002309,1711547902651004342,1711548058194610432,3241
1711547902566637772,1711548064194610432,1711547902652371087,1711547902652373258,1711548066194610432,1711547902566719648
1711547902566724509,1711548073194610432,1711547902664292189,1711547902664294216,1711548075194610432,14433
1711547902581277343,1711548081194610432,1711547902666042978,1711547902666044989,1711548084194610432,1711547902581376356
1711547902581381300,1711548090194610432,1711547902681971708,1711547902681973656,1711548092194610432,20252
1711547902601752795,1711548098194610432,1711547902690290393,1711547902690292338,1711548100194610432,1711547902601849889
1711547902601854646,1711548107194610432,1711547902691848121,1711547902691850087,1711548109194610432,5357
1711547902607332154,1711548115194610432,1711547902698984876,1711547902698987092,1711548117194610432,1711547902607422396
1711547902607427295,1711548124194610432,1711547902705592389,1711547902705594405,1711548126194610432,2795
1711547902610342039,1711548132194610432,1711547902714095007,1711547902714097110,1711548134194610432,1711547902610419830
1711547902610424790,1711548141194610432,1711547902727195721,1711547902727198304,1711548143194610432,2614
1711547902613159551,1711548149194610432,1711547902730063761,1711547902730065740,1711548152194610432,1711547902613254535
1711547902613259426,1711548158194610432,1711547902736925862,1711547902736928057,1711548160194610432,24145
1711547902637523984,1711548166194610432,1711547902739036254,1711547902739038288,1711548168194610432,1711547902637614234
1711547902637619128,1711548175194610432,1711547902754756308,1711547902754758438,1711548177194610432,11815
1711547902649554310,1711548183194610432,1711547902756242101,1711547902756244151,1711548185194610432,1711547902649655764
1711547902649660788,1711548192194610432,1711547902762175162,1711547902762177258,1711548194194610432,1154
1711547902650933623,1711548200194610432,1711547902774526272,1711547902774528583,1711548203194610432,1711547902651008762
1711547902651013740,1711548209194610432,1711547902789270021,1711547902789274614,1711548211194610432,11713
1711547902662846402,1711548217194610432,1711547902793012436,1711547902793014600,1711548219194610432,1711547902662941566
1711547902662946559,1711548226194610432,1711547902797117420,1711547902797119489,1711548228194610432,1536
1711547902664601352,1711548234194610432,1711547902813909996,1711547902813912846,1711548236194610432,1711547902664699243
1711547902664703929,1711548243194610432,1711547902815469303,1711547902815471328,1711548245194610432,15704
1711547902680526887,1711548251194610432,1711547902818544677,1711547902818546634,1711548253194610432,1711547902680628442
1711547902680633342,1711548260194610432,1711547902819654246,1711547902819656344,1711548262194610432,8096
1711547902688848289,1711548268194610432,1711547902841950236,1711547902841952893,1711548270194610432,1711547902688933819
1711547902688938649,1711548277194610432,1711547902843415942,1711547902843418064,1711548279194610432,1353
1711547902690410369,1711548285194610432,1711547902850577369,1711547902850579529,1711548287194610432,1711547902690485908
1711547902690491101,1711548294194610432,1711547902852221821,1711547902852223833,1711548296194610432,6932
1711547902697542134,1711548302194610432,1711547902856690377,1711547902856692459,1711548304194610432,1711547902697635027
1711547902697639770,1711548311194610432,1711547902862206284,1711547902862208344,1711548313194610432,6389
1711547902704147436,1711548319194610432,1711547902879975625,1711547902879977741,1711548321194610432,1711547902704238408
1711547902704243223,1711548328194610432,1711547902886298081,1711547902886300613,1711548330194610432,8288
1711547902712650904,1711548336194610432,1711547902887579986,1711547902887582085,1711548338194610432,1711547902712742439
1711547902712747346,1711548345194610432,1711547902922740717,1711547902922742891,1711548347194610432,12886
1711547902725752430,1711548353194610432,1711547902925812636,1711547902925814735,1711548355194610432,1711547902725842564
1711547902725847276,1711548362194610432,1711547902936715825,1711547902936717782,1711548364194610432,2655
1711547902728621112,1711548370194610432,1711547902937934150,1711547902937936210,1711548372194610432,1711547902728721941
1711547902728726822,1711548379194610432,1711547902951951815,1711547902951953803,1711548381194610432,6633
1711547902735479934,1711548387194610432,1711547902953542981,1711547902953545339,1711548389194610432,1711547902735577692
1711547902735582592,1711548396194610432,1711547902964533270,1711547902964535304,1711548398194610432,1896
1711547902737597503,1711548404194610432,1711547902971147750,1711547902971149977,1711548406194610432,1711547902737679641
1711547902737684476,1711548413194610432,1711547902975854639,1711547902975857214,1711548415194610432,15508
1711547902753311808,1711548421194610432,1711547902977670800,1711547902977673046,1711548423194610432,1711547902753402781
1711547902753407612,1711548430194610432,1711547902988263861,1711547902988265852,1711548432194610432,1278
