CPU	C1%	C1E%	C6%
-	0.08	0.36	96.14
1	0.00	0.74	89.85
CPU	C1%	C1E%	C6%
-	0.21	0.59	95.22
1	0.05	0.72	89.10
CPU	C1%	C1E%	C6%
-	0.18	0.62	95.60
1	0.00	0.72	89.74
CPU	C1%	C1E%	C6%
-	0.05	0.50	95.97
1	0.00	0.70	90.04
CPU	C1%	C1E%	C6%
-	0.04	0.47	96.00
1	0.00	0.68	90.02
CPU	C1%	C1E%	C6%
-	0.03	0.51	95.77
1	0.00	0.73	90.03
CPU	C1%	C1E%	C6%
-	0.05	0.44	96.02
1	0.00	0.67	90.00
CPU	C1%	C1E%	C6%
-	0.08	0.55	95.29
1	0.00	0.74	89.27
CPU	C1%	C1E%	C6%
-	0.02	0.63	95.93
1	0.00	0.65	90.01
CPU	C1%	C1E%	C6%
-	0.07	0.44	95.83
1	0.00	0.64	89.80
