CPU	C1%	C1E%	C6%
-	0.99	1.60	91.31
1	0.03	1.94	82.60
CPU	C1%	C1E%	C6%
-	1.03	1.59	91.62
1	0.11	1.03	84.06
CPU	C1%	C1E%	C6%
-	1.11	1.74	91.44
1	0.05	0.95	83.99
CPU	C1%	C1E%	C6%
-	1.13	1.52	91.62
1	0.06	1.11	83.62
CPU	C1%	C1E%	C6%
-	0.92	1.86	91.47
1	0.05	0.92	83.95
CPU	C1%	C1E%	C6%
-	0.75	1.55	92.09
1	0.02	1.25	83.73
CPU	C1%	C1E%	C6%
-	0.88	1.42	91.97
1	0.10	0.70	84.36
CPU	C1%	C1E%	C6%
-	1.18	1.55	91.54
1	0.17	0.91	82.99
CPU	C1%	C1E%	C6%
-	0.90	1.67	91.54
1	0.13	1.06	83.86
CPU	C1%	C1E%	C6%
-	1.05	1.71	91.73
1	0.06	1.22	83.79
